"state","election_date","contest_name","choice","choice_party","jurisdiction","office","district","election_day","early_voting","absentee_by_mail","absentee_or_early","provisional","total_votes","vote_share","contest_outcome"
"NC",2025-10-07,"CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD","Barbara A. Baxter","","Elizabeth","Councilman","4Th Ward",33,60,0,0,0,93,11.82,"Loser"
"NC",2025-11-04,"TOWN OF EMERALD ISLE COMMISSIONER","Write-In (Miscellaneous)","","Emerald Isle","Commissioner","",12,15,0,0,0,27,0.57,"Loser"
"NC",2025-11-04,"TOWN OF PIKEVILLE COMMISSIONER","Write-In (Miscellaneous)","","Pikeville","Commissioner","",1,0,0,0,0,1,0.66,"Loser"
"NC",2025-11-04,"TOWN OF HOLLY RIDGE MAYOR","Write-In (Miscellaneous)","","Holly Ridge","Mayor","",0,0,0,0,0,0,0,"Loser"
"NC",2025-11-04,"TOWN OF WHITAKERS BOARD OF COMMISSIONERS","John Ford","","Whitakers","Board Of Commissioners","",57,0,0,0,0,57,16.47,"Loser"
"NC",2025-11-04,"VILLAGE OF WESLEY CHAPEL COUNCIL","Deb Coates Bledsoe","","Wesley Chapel","Council","",350,45,3,0,2,400,36.76,"Winner"
"NC",2025-11-04,"TOWN OF BETHEL BOARD OF COMMISSIONERS","Tina Staton","","Bethel","Board Of Commissioners","",73,7,0,0,1,81,6.23,"Loser"
"NC",2025-11-04,"CITY OF GREENSBORO CITY COUNCIL AT-LARGE","Zack Matheny (Write-In)","","Greensboro","Council","At Large",11,4,0,0,0,15,0.01,"Loser"
"NC",2025-11-04,"CHARLOTTE-MECKLENBURG BOARD OF EDUCATION DISTRICT 04","Write-In (Miscellaneous)","","Charlotte-Mecklenburg","Board Of Education","District 04",174,85,1,0,1,261,1.1,"Loser"
"NC",2025-11-04,"TOWN OF PRINCETON MAYOR","Write-In (Miscellaneous)","","Princeton","Mayor","",5,2,0,0,0,7,4.61,"Loser"
"NC",2025-11-04,"TOWN OF SUNSET BEACH MAYOR","Write-In (Miscellaneous)","","Sunset Beach","Mayor","",2,1,0,0,0,3,0.16,"Loser"
"NC",2025-11-04,"TOWN OF CAROLINA SHORES COMMISSIONER","Jeff Alt","","Carolina Shores","Commissioner","",257,12,4,0,1,274,21.22,"Loser"
"NC",2025-11-04,"CITY OF ROANOKE RAPIDS MAYOR","Write-In (Miscellaneous)","","Roanoke Rapids","Mayor","",4,0,0,0,0,4,0.27,"Loser"
"NC",2025-11-04,"CITY OF WILMINGTON MAYOR","Write-In (Miscellaneous)","","Wilmington","Mayor","",35,26,1,0,1,63,0.25,"Loser"
"NC",2025-11-04,"TOWN OF PLYMOUTH COUNCIL WARD 01","John Tharps","","Plymouth","Council","Ward 01",41,26,0,0,3,70,12.96,"Loser"
"NC",2025-11-04,"CITY OF BELMONT COUNCIL MEMBER","Marc Seelinger","","Belmont","Council Member","",1483,320,9,0,6,1818,26.63,"Winner"
"NC",2025-11-04,"CITY OF LUMBERTON CITY COUNCIL MEMBER DISTRICT 02","Write-In (Miscellaneous)","","Lumberton","Council Member","District 02",0,2,0,0,0,2,2.27,"Loser"
"NC",2025-11-04,"TOWN OF HOT SPRINGS ALDERMAN","Tammy Shelton","UNA","Hot Springs","Alderman","",93,0,0,0,2,95,17.12,"Loser"
"NC",2025-11-04,"TOWN OF APEX TOWN COUNCIL","Aditya Ahlawat","","Apex","Council","",2598,1200,33,0,8,3839,10.32,"Loser"
"NC",2025-11-04,"TOWN OF SNOW HILL TOWN COMMISSIONER","Geraldine (Pat) Shackleford","","Snow Hill","Commissioner","",45,119,49,0,1,214,16.4,"Loser"
"NC",2025-11-04,"TOWN OF WHITAKERS BOARD OF COMMISSIONERS","Rachel L. Tillery","","Whitakers","Board Of Commissioners","",40,0,0,0,1,41,11.85,"Loser"
"NC",2025-11-04,"TOWN OF COOLEEMEE COMMISSIONER","Steve Corriher","","Cooleemee","Commissioner","",34,3,0,0,0,37,49.33,"Winner"
"NC",2025-11-04,"CITY OF FAYETTEVILLE CITY COUNCIL DISTRICT 06","Write-In (Miscellaneous)","","Fayetteville","Council","District 06",9,4,0,0,0,13,0.54,"Loser"
"NC",2025-11-04,"TOWN OF TROUTMAN TOWN COUNCIL","Jerry Oxsher","","Troutman","Council","",188,38,0,0,0,226,19.6,"Loser"
"NC",2025-11-04,"CITY OF GRAHAM COUNCIL MEMBER","Randy Phillips","","Graham","Council Member","",686,405,0,0,0,1091,25.28,"Loser"
"NC",2025-11-04,"TOWN OF RICH SQUARE MAYOR","Victoria Newcombe","","Rich Square","Mayor","",97,0,0,0,1,98,59.39,"Winner"
"NC",2025-11-04,"TOWN OF TARBORO MAYOR","Tate Mayo","","Tarboro","Mayor","",510,376,0,0,3,889,94.68,"Winner"
"NC",2025-09-09,"CITY OF SANFORD COUNCIL MEMBER WARD 03 (DEM)","J.D. Williams","DEM","Sanford","Council Member","Ward 03",12,32,0,0,0,44,40,"Loser"
"NC",2025-11-04,"TOWN OF STONEVILLE COUNCILMAN","Samantha Land","","Stoneville","Councilman","",62,1,0,0,1,64,21.55,"Loser"
"NC",2025-11-04,"TOWN OF FAISON COMMISSIONER","Alane Brewer Floyd","","Faison","Commissioner","",19,1,1,0,0,21,7.17,"Loser"
"NC",2025-11-04,"TOWN OF EASTOVER MAYOR","Write-In (Miscellaneous)","","Eastover","Mayor","",6,1,0,0,0,7,4.38,"Loser"
"NC",2025-11-04,"TOWN OF HOLDEN BEACH COMMISSIONER","Maria Surprise","","Holden Beach","Commissioner","",144,85,5,0,1,235,21.04,"Loser"
"NC",2025-11-04,"TOWN OF BETHANIA COMMISSIONER","Brent S. Rockett","UNA","Bethania","Commissioner","",40,0,0,0,0,40,60.61,"Winner"
"NC",2025-11-04,"TOWN OF FARMVILLE BOARD OF COMMISSIONERS","Alma Cobb Hobbs","","Farmville","Board Of Commissioners","",497,85,5,0,5,592,25.17,"Loser"
"NC",2025-11-04,"CITY OF CHARLOTTE CITY COUNCIL DISTRICT 02","Write-In (Miscellaneous)","","Charlotte","Council","District 02",275,136,3,0,0,414,2.84,"Loser"
"NC",2025-11-04,"TOWN OF LANDIS BOARD OF ALDERMEN","Darrell Overcash","","Landis","Board Of Aldermen","",85,7,1,0,0,93,46.04,"Winner"
"NC",2025-11-04,"CITY OF BURLINGTON MAYOR","Write-In (Miscellaneous)","","Burlington","Mayor","",11,1,0,0,0,12,0.15,"Loser"
"NC",2025-11-04,"LEXINGTON CITY SCHOOLS BOARD OF EDUCATION WARD 04","Patricia Miller","","Lexington City Schools","Board Of Education","Ward 04",62,36,1,0,0,99,57.56,"Winner"
"NC",2025-11-04,"CITY OF CHARLOTTE CITY COUNCIL AT-LARGE","Lia White (Write-In)","","Charlotte","Council","At Large",145,60,0,0,0,205,0.04,"Loser"
"NC",2025-11-04,"TOWN OF BISCOE TOWN COMMISSIONER","David Asbill","","Biscoe","Commissioner","",63,4,5,0,1,73,27.04,"Loser"
"NC",2025-11-04,"TOWN OF BATH COMMISSIONER","Write-In (Miscellaneous)","","Bath","Commissioner","",5,0,0,0,0,5,7.14,"Loser"
"NC",2025-11-04,"TOWN OF ELIZABETHTOWN COUNCIL MEMBER (UNEXPIRED)","Robert Hester","UNEXPIRED","Elizabethtown","Council Member","",65,84,0,0,0,149,25.34,"Loser"
"NC",2025-11-04,"TOWN OF MOUNT OLIVE COMMISSIONER DISTRICT 01","Vicky Darden","","Mount Olive","Commissioner","District 01",55,8,0,0,0,63,49.61,"Winner"
"NC",2025-11-04,"CITY OF MARION MAYOR","Matt Suttles (Write-In)","","Marion","Mayor","",6,8,0,0,0,14,2.86,"Loser"
"NC",2025-10-07,"CITY OF ROXBORO COUNCILMAN","Nathan Morgan","","Roxboro","Councilman","",71,110,2,0,1,184,7.45,"Loser"
"NC",2025-10-07,"CITY OF GREENSBORO CITY COUNCIL DISTRICT 02","Jim Kee","","Greensboro","Council","District 02",329,126,1,0,0,456,19.05,"Loser"
"NC",2025-11-04,"CITY OF GASTONIA COUNCIL MEMBER WARD 05","Write-In (Miscellaneous)","","Gastonia","Council Member","Ward 05",2,2,0,0,0,4,0.28,"Loser"
"NC",2025-11-04,"TOWN OF PINE LEVEL TOWN COMMISSIONERS","Rodney Cabe","","Pine Level","Commissioners","",98,7,0,0,1,106,16.56,"Loser"
"NC",2025-11-04,"CITY OF STATESVILLE COUNCILMAN AT-LARGE","James Pressly","","Statesville","Councilman","At Large",726,789,5,0,3,1523,21.8,"Loser"
"NC",2025-11-04,"TOWN OF SEAGROVE MAYOR","David Robert Fernandez","","Seagrove","Mayor","",49,4,0,0,0,53,94.64,"Winner"
"NC",2025-11-04,"TOWN OF GROVER COMMISSIONER","Write-In (Miscellaneous)","","Grover","Commissioner","",6,0,0,0,0,6,6.38,"Loser"
"NC",2025-11-04,"TOWN OF GREEN LEVEL COUNCIL MEMBER","Theodore (Ted) Howard","","Green Level","Council Member","",50,13,0,0,0,63,17.12,"Loser"
